,1년간여행여부,1년간여가/문화활동,1년간교육학습,친목단체참여여부,자원봉사경험유무,종교종류,가장중요한활동,현재경제활동여부,향후근로희망여부,노인일자리참여여부,노인일자리참여의향,향후참여하고싶은유형
1290,2,1,2,2,2,2,3,2,1,4,1,1
1292,2,1,1,2,2,3,7,2,1,4,1,5
1301,2,1,2,2,2,3,3,3,4,4,1,1
1305,2,1,2,2,2,1,6,2,4,4,1,1
1309,2,1,2,2,2,2,3,2,1,4,1,1
1310,1,1,2,2,2,2,6,1,2,4,1,3
1317,2,1,2,2,2,2,3,1,2,1,1,1
1320,2,1,2,2,2,6,4,1,3,3,1,1
1323,1,1,2,2,2,3,4,2,4,4,1,5
1325,1,2,2,2,2,1,3,1,1,1,1,5
1327,2,1,2,2,2,2,3,2,1,4,1,4
1328,2,1,1,2,2,1,7,2,2,3,1,1
1333,2,1,2,2,2,1,7,1,2,1,1,1
1339,1,1,2,2,2,3,3,3,4,4,1,1
1341,2,1,2,2,2,2,6,2,1,4,1,2
1345,1,1,2,2,1,1,6,1,2,1,1,4
1351,1,1,2,2,2,1,6,1,2,4,1,1
1353,2,1,2,2,2,2,7,1,2,1,1,1
1356,2,1,2,2,2,1,3,1,3,4,1,1
1357,2,1,1,2,2,3,3,2,1,4,1,1
1360,2,1,2,2,2,3,7,1,2,1,1,1
1362,1,1,2,2,2,2,3,2,4,2,1,5
1371,2,1,2,2,2,2,6,3,1,4,1,1
1377,2,1,2,2,2,3,6,3,1,4,1,1
1382,1,1,2,2,2,2,4,1,2,1,1,5
1386,1,1,2,2,2,1,7,1,2,4,1,5
1387,2,1,2,2,2,3,6,1,1,4,1,3
1391,2,1,2,2,2,3,7,1,2,1,1,3
1393,2,1,2,2,2,1,7,1,3,3,1,1
1401,2,1,2,2,2,3,7,2,2,2,1,1
1406,2,1,1,2,2,3,7,1,2,1,1,1
1411,2,1,2,2,2,3,7,1,2,1,1,5
1412,1,1,2,2,2,1,3,1,2,4,1,1
1416,2,1,2,2,2,1,7,2,2,2,1,1
1419,2,1,2,2,2,3,7,2,1,4,1,1
1421,2,1,2,2,2,1,3,1,2,3,1,1
1426,2,2,1,2,2,1,7,2,1,2,1,1
1429,2,1,2,2,2,1,4,3,4,4,1,1
1436,2,1,2,2,2,3,7,2,4,4,1,1
1438,1,1,2,2,2,3,7,1,1,4,1,1
1440,2,1,2,2,2,3,6,2,1,2,1,1
1443,2,1,2,2,2,1,3,2,4,3,1,1
1444,2,1,2,2,2,1,7,2,3,2,1,1
1448,2,1,2,2,2,2,6,2,1,4,1,1
1450,2,1,2,2,2,1,6,2,1,4,1,1
1451,1,1,2,2,2,4,3,2,1,4,1,2
1453,2,1,2,2,2,1,4,3,1,3,1,2
1454,2,1,2,2,2,2,2,3,1,4,1,1
1457,2,1,2,2,2,2,7,3,1,4,1,1
1468,1,1,2,2,2,1,7,2,2,3,1,2
1472,2,1,2,2,2,2,3,1,2,1,1,1
1473,1,1,1,2,2,1,3,2,4,2,1,1
1480,2,1,2,2,2,1,7,1,2,1,1,1
1482,2,1,1,2,2,2,7,1,1,1,1,1
1485,2,1,2,2,2,1,7,1,2,1,1,1
1492,2,1,2,2,2,1,6,2,1,4,1,4
1495,1,1,1,2,2,1,3,2,1,4,1,1
1498,2,2,2,2,2,1,3,2,1,2,1,1
1499,1,1,2,2,2,1,7,2,4,3,1,5
1509,2,1,2,1,2,2,7,1,2,4,1,1
1515,1,1,2,2,2,1,3,2,1,4,1,1
1533,2,1,2,2,2,2,3,1,2,1,1,1
1542,1,1,2,2,2,4,7,2,1,4,1,1
1543,2,1,2,2,2,2,7,1,2,1,1,5
1551,2,1,2,2,2,3,7,1,2,1,1,1
1554,1,1,2,2,2,3,3,2,4,4,1,5
1557,2,1,2,2,2,3,3,2,3,4,1,4
1564,2,1,2,2,2,1,3,2,4,4,1,1
1568,2,1,2,2,2,1,7,2,3,3,1,1
1570,1,1,2,2,2,2,7,1,2,1,1,5
1576,2,1,1,2,2,1,4,1,2,1,1,1
1584,2,1,2,2,2,2,7,2,4,4,1,5
1596,2,1,2,2,2,1,3,2,4,4,1,2
1598,2,1,2,2,2,1,3,1,3,1,1,1
1605,2,1,1,2,2,1,3,2,2,1,1,1
1614,2,1,2,2,2,2,4,1,4,1,1,1
1615,2,1,2,2,2,2,3,1,2,1,1,2
1618,2,1,2,2,2,1,3,2,1,4,1,1
1620,2,1,2,1,1,3,6,1,2,4,1,1
1621,2,1,2,2,2,1,3,2,3,4,1,1
1623,2,1,2,2,2,1,7,2,1,3,1,1
1631,2,1,2,1,2,3,7,1,2,4,1,1
1633,2,1,2,2,2,2,7,1,2,1,1,1
1635,2,1,2,2,2,3,4,1,3,4,1,5
1637,2,1,2,2,2,3,7,1,2,4,1,1
1640,2,1,1,1,2,3,7,1,2,4,1,1
1641,2,1,2,2,1,3,7,1,2,1,1,1
1643,2,1,2,2,2,3,7,1,2,1,1,1
1645,2,1,2,2,2,2,4,1,2,1,1,1
1646,1,1,2,2,2,1,3,2,3,3,1,5
1649,2,1,2,2,2,3,7,1,2,1,1,1
1660,1,1,2,2,2,3,7,1,2,1,1,1
1669,2,1,2,2,2,3,7,1,3,2,1,2
1674,2,1,2,2,2,1,7,3,1,4,1,2
1687,2,1,2,2,2,3,7,1,2,4,1,1
1688,2,1,2,2,2,3,4,1,2,1,1,1
1698,2,1,2,2,2,3,4,2,4,4,1,1
1699,2,1,2,1,2,1,7,2,1,2,1,1
1704,2,2,2,2,2,1,3,1,2,1,1,1
1708,2,1,2,2,2,3,7,1,2,4,1,1
1714,1,1,2,2,2,2,3,2,1,4,1,1
1715,2,1,2,2,2,2,3,1,2,1,1,1
1719,2,1,2,2,2,2,7,2,4,4,1,1
1721,1,1,2,2,2,2,3,2,1,3,1,1
1732,2,1,2,2,2,1,6,3,1,4,1,1
1737,2,1,2,2,2,2,4,2,4,4,1,1
1742,2,1,1,2,2,2,7,2,4,2,1,5
1744,1,1,2,2,2,1,3,1,2,1,1,5
1746,1,1,2,2,2,2,4,2,1,3,1,1
1750,1,1,1,2,2,3,7,1,2,1,1,2
1754,2,1,2,2,2,1,6,1,2,1,1,1
1762,2,1,1,2,2,1,4,2,1,4,1,1
1763,2,1,1,2,2,1,7,1,2,1,1,1
1765,1,1,1,2,2,3,4,2,3,4,1,1
1767,2,1,2,2,2,1,4,3,1,3,1,1
1768,1,1,2,2,2,4,3,2,4,4,1,1
1774,2,1,2,2,2,3,3,2,1,4,1,1
1775,2,2,2,2,2,1,7,2,1,3,1,5
1781,2,1,2,2,2,1,4,2,1,2,1,1
1786,1,1,2,2,2,1,2,2,4,3,1,5
1797,1,1,2,2,2,2,7,1,2,4,1,1
1798,1,1,1,2,2,2,4,1,2,1,1,1
1799,2,1,1,2,2,2,6,2,1,3,1,1
1803,1,1,2,2,2,2,3,2,1,4,1,1
1806,2,1,1,2,2,1,7,1,4,1,1,5
1816,2,1,2,2,2,2,7,2,1,2,1,1
1819,1,1,1,2,2,2,7,1,2,4,1,1
1826,2,1,2,2,2,1,7,2,4,4,1,2
1844,2,1,1,2,2,1,2,1,2,4,1,5
1846,2,1,2,2,2,3,3,2,3,4,1,1
1847,1,1,2,1,1,1,1,2,3,1,1,4
1850,2,1,1,2,2,2,6,1,2,1,1,1
1856,2,1,1,2,2,3,7,1,2,4,1,2
1861,1,1,2,2,2,2,4,2,1,2,1,1
1867,2,1,1,2,2,1,7,2,1,4,1,1
1875,2,1,2,2,2,2,7,1,2,1,1,1
1884,2,1,2,2,2,2,3,1,2,4,1,1
1889,1,1,2,2,2,3,7,1,2,3,1,1
1895,1,1,2,2,2,1,6,1,3,4,1,1
1898,1,1,1,2,2,2,7,1,2,4,1,1
1903,2,1,2,2,2,2,7,1,2,1,1,1
1907,1,1,2,2,2,3,3,1,2,4,1,1
1920,1,1,2,2,2,2,3,2,4,2,1,5
1926,1,1,2,2,2,1,3,1,2,4,1,1
1935,2,1,2,2,2,2,7,1,2,1,1,2
1939,2,1,2,2,2,2,7,1,2,4,1,5
1948,2,1,1,2,2,2,4,1,2,1,1,1
1950,1,1,2,2,2,1,7,1,2,2,1,5
1951,2,1,2,2,2,2,3,2,4,2,1,1
1955,2,1,2,2,2,2,4,2,1,4,1,1
1956,2,1,2,2,2,1,7,1,3,2,1,5
1959,2,1,1,2,2,2,4,1,2,1,1,5
1967,2,1,2,2,2,3,7,1,2,1,1,5
1968,2,1,2,2,2,2,3,1,2,4,1,1
1970,2,1,1,2,2,2,6,2,1,2,1,1
