Gender,Age,Religion,Job,Married,Edu,Health,Self_conf,Earn,Activity,target,Cluster
0,69,3,1.0,1,1,2,2,0,0,1,0
1,71,2,1.0,1,1,2,1,2,0,2,0
0,70,1,2.0,3,0,2,1,2,0,5,2
0,80,2,1.0,3,1,2,1,0,1,1,0
0,70,2,2.0,1,0,1,2,1,1,1,1
0,71,1,3.0,3,0,2,2,1,1,4,0
0,71,1,1.0,4,2,2,1,1,2,1,0
0,83,1,1.0,3,0,2,1,0,1,3,3
0,74,1,2.0,1,0,0,1,1,0,1,1
1,81,1,1.0,1,0,1,0,0,1,1,1
0,72,2,2.0,1,0,1,1,2,0,3,4
0,74,2,1.0,3,2,1,1,0,0,1,1
0,76,2,0.0,3,1,2,1,1,1,1,0
0,73,1,2.0,3,0,1,1,1,1,1,1
0,84,2,1.0,3,0,0,1,0,1,4,5
0,70,1,2.0,3,2,0,1,0,1,5,1
0,76,0,0.0,3,2,2,1,0,2,5,2
0,88,2,2.0,3,0,1,1,2,3,1,4
1,73,2,1.0,1,2,1,1,1,1,1,0
0,71,2,1.0,1,1,1,1,1,0,1,0
0,74,1,1.0,3,0,2,1,2,0,1,0
1,74,3,1.0,1,3,2,1,2,2,5,0
0,69,3,1.0,1,0,0,1,1,0,1,5
0,69,3,2.0,3,2,1,2,1,0,4,1
0,70,3,1.0,1,0,2,1,2,0,1,0
1,70,0,2.0,1,0,1,1,1,0,5,1
0,70,0,1.0,1,0,0,1,1,0,1,5
0,72,0,2.0,1,0,1,1,1,1,1,1
1,76,0,1.0,1,3,2,2,2,2,5,0
0,78,2,2.0,3,0,2,2,1,1,1,3
1,80,1,1.0,1,0,1,1,2,0,1,4
0,78,0,3.0,3,0,2,1,0,1,1,3
0,75,0,1.0,1,0,0,0,1,0,5,5
0,71,1,0.0,3,1,1,1,1,1,3,0
1,77,0,1.0,1,1,2,1,2,0,2,0
1,72,0,1.0,1,2,2,1,1,1,1,0
0,76,2,2.0,3,0,2,1,0,0,5,3
0,83,0,2.0,3,0,2,1,2,0,1,2
